original,En2bn,bn2En,En2gu,gu2En,En2hi,hi2En,En2kn,kn2En,En2ml,ml2En,En2mr,mr2En,En2ne,ne2En,En2pa,pa2En,En2sd,sd2En,En2ta,ta2En,En2te,te2En,En2ur,ur2En
They are an advocate.,তারা একটি উকিল।,They are a lawyer.,તેઓ એક એડવોકેટ છે.,He is an advocate.,वे एक अधिवक्ता हैं।,He is an advocate.,ಅವರು ವಕೀಲರು.,They are lawyers.,അവർ ഒരു അഭിഭാഷകനാണ്.,They are a lawyer.,ते वकील आहेत.,They are lawyers.,तिनीहरू एक अधिवक्ता हुन्।,They are an advocate.,ਉਹ ਇੱਕ ਵਕੀਲ ਹਨ.,He is a lawyer.,اهي هڪ وڪيل هئڻ گهرجي.,They should become a lawyer.,அவர்கள் ஒரு வக்கீல்.,They are a lawyer.,వారు న్యాయవాది.,They are a lawyer.,وہ ایک وکیل ہیں۔,He is a lawyer.
They are an agriculturist.,তারা একজন কৃষক।,They are a farmer.,તેઓ ખેતીવાડી છે.,They are agricultural.,वे एक कृषक हैं।,He is a farmer.,ಅವರು ಕೃಷಿಕರು.,They are agriculturists.,അവർ ഒരു കൃഷിക്കാരനാണ്.,They are a farmer.,ते एक कृषक आहेत.,He is a farmer.,तिनीहरू एक कृषिविद् हुन्।,He is an agriculturist.,ਉਹ ਇੱਕ ਖੇਤੀਬਾੜੀ ਹਨ.,They are an agriculture.,اهي هڪ زراعت پسند آهن.,They are an agriculturist.,அவர்கள் ஒரு விவசாயி.,They are a farmer.,వారు వ్యవసాయదారుడు.,They are farmers.,وہ زرعی ماہر ہیں۔,He is an agricultural expert.
They are an aircraft pilot.,তারা বিমানের পাইলট।,They are the pilots of the aircraft.,તેઓ એક વિમાન પાયલોટ છે.,He is an aircraft pilot.,वे एक विमान के पायलट हैं।,He is the pilot of an aircraft.,ಅವರು ವಿಮಾನ ಪೈಲಟ್.,He's a flight pilot.,അവർ ഒരു വിമാന പൈലറ്റാണ്.,They are an airline pilot.,ते विमानाचा पायलट आहेत.,He is the pilot of the aircraft.,तिनीहरू एक विमान पायलट हो।,They are an aircraft pilot.,ਉਹ ਇੱਕ ਜਹਾਜ਼ ਦੇ ਪਾਇਲਟ ਹਨ.,He is the pilot of a plane.,اهي جهاز جا پائلٽ هوندا آهن.,They are aircraft pilots.,அவர்கள் ஒரு விமான விமானி.,They are an airline pilot.,వారు విమాన పైలట్.,They are flight pilots.,وہ ایک ہوائی جہاز کے پائلٹ ہیں۔,He is the pilot of an airplane.
They are an artist.,তারা একটি শিল্পী।,They are an artist.,તેઓ એક કલાકાર છે.,He is an artist.,वे एक कलाकार हैं।,He is an artist.,ಅವರು ಕಲಾವಿದ.,He is an artist.,അവർ ഒരു കലാകാരനാണ്.,They are an artist.,ते एक कलाकार आहेत.,He is an artist.,तिनीहरू एक कलाकार हुन्।,They are an artist.,ਉਹ ਇਕ ਕਲਾਕਾਰ ਹਨ.,He is an artist.,اهي هڪ آرٽسٽ آهن.,They are an artist.,அவர்கள் ஒரு கலைஞர்.,They are an artist.,వారు ఒక కళాకారుడు.,They are an artist.,وہ ایک فنکار ہیں۔,He is an artist.
They are an astronomer.,তারা একজন জ্যোতির্বিদ।,They are an astronomer.,તેઓ એક ખગોળશાસ્ત્રી છે.,He is an astronomer.,वे एक खगोलशास्त्री हैं।,He is an astronomer.,ಅವರು ಖಗೋಳ ವಿಜ್ಞಾನಿ.,He is an astronomer.,അവർ ഒരു ജ്യോതിശാസ്ത്രജ്ഞനാണ്.,They are an astronomer.,ते खगोलशास्त्रज्ञ आहेत.,They are astronomers.,तिनीहरू खगोलविद् हुन्।,They are astronomers.,ਉਹ ਇੱਕ ਖਗੋਲ ਵਿਗਿਆਨੀ ਹਨ.,He is an astronomer.,اهي هڪ ڪلاسيڪل ڪلاس وارا آهن.,They are a classical classics.,அவர்கள் ஒரு வானியலாளர்.,They are an astronomer.,వారు ఖగోళ శాస్త్రవేత్త.,They are astronomers.,وہ ماہر فلکیات ہیں۔,He is an astronomer.
They are an attorney.,তারা একজন অ্যাটর্নি।,They are an attorney.,તેઓ એક એટર્ની છે.,He is an attorney.,वे एक वकील हैं।,He is a lawyer.,ಅವರು ವಕೀಲರು.,They are lawyers.,അവർ ഒരു അഭിഭാഷകനാണ്.,They are a lawyer.,ते वकील आहेत.,They are lawyers.,तिनीहरू एक वकिल हुन्।,They are a lawyer.,ਉਹ ਇੱਕ ਵਕੀਲ ਹਨ.,He is a lawyer.,اهي هڪ وڪيل آهن.,They are a lawyer.,அவர்கள் ஒரு வழக்கறிஞர்.,They are a lawyer.,వారు ఒక న్యాయవాది.,They are a lawyer.,وہ ایک وکیل ہیں۔,He is a lawyer.
They are an audiologist.,তারা একজন অডিওলজিস্ট।,They are an audiologist.,તેઓ iડિઓલોજિસ્ટ છે.,He is an audiologist.,वे एक ऑडियोलॉजिस्ट हैं।,He is an audiologist.,ಅವರು ಆಡಿಯಾಲಜಿಸ್ಟ್.,He is an audiologist.,അവർ ഒരു ഓഡിയോളജിസ്റ്റാണ്.,They are an audiologist.,ते ऑडिओलॉजिस्ट आहेत.,He is an audiologist.,तिनीहरू अडियोलोजिस्ट हुन्।,They are audiologists.,ਉਹ ਇੱਕ ਆਡੀਓਲੋਜਿਸਟ ਹਨ.,He is an audiologist.,اھي ھڪ آڊيولوجسٽ آھن.,He is an oncologist.,அவர்கள் ஆடியோலஜிஸ்ட்.,They are audiologists.,వారు ఆడియాలజిస్ట్.,They are an audiologist.,وہ آڈیولوجسٹ ہیں۔,He is an audiologist.
They are a banker.,তারা একজন ব্যাংকার।,They are a banker.,તેઓ એક બેંકર છે.,He is a banker.,वे एक बैंकर हैं।,He is a banker.,ಅವರು ಬ್ಯಾಂಕರ್.,He's a banker.,അവർ ഒരു ബാങ്കറാണ്.,They are a banker.,ते एक बँकर आहेत.,He is a banker.,तिनीहरू एक बैंकर हो।,They are a banker.,ਉਹ ਇੱਕ ਸ਼ਾਹੂਕਾਰ ਹਨ.,He is a banker.,اهي هڪ بينڪن جي آهن.,They are a banker.,அவர்கள் ஒரு வங்கியாளர்.,They are a banker.,వారు బ్యాంకర్.,They are bankers.,وہ ایک بینکر ہیں۔,He is a banker.
They are a barber.,তারা নাপিত।,They are barbers.,તેઓ એક વાળંદ છે.,He is a barber.,वे एक नाई हैं।,She is a hairdresser.,ಅವರು ಕ್ಷೌರಿಕರು.,They are barbers.,അവർ ഒരു ക്ഷുരകനാണ്.,They are a barber.,ते एक नाई आहेत.,He is a barber.,तिनीहरू नाई हुन्।,They are barbers.,ਉਹ ਇੱਕ ਨਾਈ ਹਨ.,She is a barber.,اهي حجام آهن.,They are barber.,அவர்கள் ஒரு முடிதிருத்தும்.,They are a barber.,వారు మంగలి.,They are barber.,وہ ایک حجام ہیں۔,He is a barber.
They are a bartender.,তারা বারটেন্ডার।,They are bartenders.,તેઓ બાર્ટેન્ડર છે.,He is a bartender.,वे बारटेंडर हैं।,They are bartenders.,ಅವರು ಬಾರ್ಟೆಂಡರ್.,He's a bartender.,അവർ ഒരു ബാർട്ടൻഡറാണ്.,They are a bartender.,ते बारटेंडर आहेत.,They are bartenders.,तिनीहरू बार्टेन्डर हुन्।,They are bartenders.,ਉਹ ਬਾਰਟੈਂਡਰ ਹਨ.,They are bartenders.,اهي هڪ بارٽيون ڪندڙ آهن.,They are a bartender.,அவர்கள் ஒரு மதுக்கடை.,They are a bar.,వారు బార్టెండర్.,They are bartenders.,وہ بارٹینڈر ہیں۔,She is a bartender.
