original,En2bn,bn2En,En2gu,gu2En,En2hi,hi2En,En2kn,kn2En,En2ml,ml2En,En2mr,mr2En,En2ne,ne2En,En2pa,pa2En,En2sd,sd2En,En2ta,ta2En,En2te,te2En,En2ur,ur2En
She is an advocate.,তিনি একজন অ্যাডভোকেট।,He is an advocate.,તે એક એડવોકેટ છે.,He is an advocate.,वह एक वकील हैं।,He is a lawyer.,ಅವಳು ವಕೀಲ.,She is a lawyer.,അവൾ ഒരു അഭിഭാഷകയാണ്.,She is a lawyer.,ती एक वकील आहे.,She is a lawyer.,उनी एक वकिल हुन्।,He is a lawyer.,ਉਹ ਇੱਕ ਵਕੀਲ ਹੈ.,He is a lawyer.,هوءَ وڪيل آهي.,She is a lawyer,அவள் ஒரு வக்கீல்.,She is a lawyer.,ఆమె న్యాయవాది.,She is a lawyer.,وہ ایک وکیل ہے۔,He is a lawyer.
She is an agriculturist.,তিনি একজন কৃষিবিদ।,He is an agriculturist.,તે એક કૃષિવિજ્ .ાની છે.,He is an agronomist.,वह एक कृषक हैं।,He is a farmer.,ಅವಳು ಕೃಷಿಕ.,She is a farmer.,അവൾ ഒരു കൃഷിക്കാരിയാണ്.,She is a farmer.,ती एक कृषक आहे.,She is a farmer.,उनी एक कृषिविद् हुन्।,He is an agriculturist.,ਉਹ ਇੱਕ ਖੇਤੀਬਾੜੀ ਹੈ.,He is an agriculturist.,هوءَ زراعت ڪندڙ آهي.,She is a farmer.,அவள் ஒரு விவசாயி.,She is a farmer.,ఆమె వ్యవసాయదారుడు.,She is a farmer.,وہ ایک زراعت پسند ہے۔,He is an agriculturist.
She is an aircraft pilot.,তিনি একজন বিমানের পাইলট।,He is an aircraft pilot.,તે એક વિમાન પાઇલટ છે.,He is an aircraft pilot.,वह एक एयरक्राफ्ट पायलट हैं।,He is an aircraft pilot.,ಅವಳು ವಿಮಾನ ಪೈಲಟ್.,She’s a flight pilot.,അവൾ ഒരു വിമാന പൈലറ്റാണ്.,She is an airline pilot.,ती विमानाची पायलट आहे.,She is the pilot of the aircraft.,उनी एक विमान पायलट हुन्।,He is a pilot.,ਉਹ ਇਕ ਏਅਰਕ੍ਰਾਫਟ ਪਾਇਲਟ ਹੈ।,He is an aircraft pilot.,هوءَ جهاز جو پائلٽ آهي.,She is an aircraft pilot.,அவர் ஒரு விமான பைலட்.,He is an airline pilot.,ఆమె విమాన పైలట్.,She is a flight pilot.,وہ ایک ہوائی جہاز کا پائلٹ ہے۔,He is the pilot of an airplane.
She is an artist.,সে একজন শিল্পী.,He is an artist.,તે એક કલાકાર છે.,He is an artist.,वह एक कलाकार है।,she's an artist.,ಅವಳು ಕಲಾವಿದೆ.,She is an artist.,അവൾ ഒരു കലാകാരിയാണ്.,She is an artist.,ती एक कलाकार आहे.,She is an artist.,उनी एक कलाकार हुन्।,He is an artist.,ਉਹ ਇੱਕ ਕਲਾਕਾਰ ਹੈ.,He is an artist.,هوءَ فنڪار آهي.,She is an artist,அவள் ஒரு கலைஞன்.,She is an artist.,ఆమె ఆర్టిస్ట్.,She is an artist.,وہ ایک فنکار ہے۔,She is an artist.
She is an astronomer.,তিনি একজন জ্যোতির্বিদ।,He is an astronomer.,તે એક ખગોળશાસ્ત્રી છે.,He is an astronomer.,वह एक खगोलशास्त्री हैं।,He is an astronomer.,ಅವಳು ಖಗೋಳ ವಿಜ್ಞಾನಿ.,She is an astronomer.,അവൾ ഒരു ജ്യോതിശാസ്ത്രജ്ഞയാണ്.,She is an astronomer.,ती एक खगोलशास्त्रज्ञ आहे.,She is an astronomer.,उनी खगोलविद् हुन्।,He is an astronomer.,ਉਹ ਇੱਕ ਖਗੋਲ ਵਿਗਿਆਨੀ ਹੈ.,He is an astronomer.,هوءَ ڪلاسيڪل آهي.,She is classical,அவள் ஒரு வானியலாளர்.,She is an astronomer.,ఆమె ఖగోళ శాస్త్రవేత్త.,She is an astronomer.,وہ ایک ماہر فلکیات ہیں۔,He is an astronomer.
She is an attorney.,তিনি একজন অ্যাটর্নি।,He is an attorney.,તે એક એટર્ની છે.,She is an attorney.,वह एक वकील हैं।,He is a lawyer.,ಅವಳು ವಕೀಲ.,She is a lawyer.,അവൾ ഒരു അഭിഭാഷകയാണ്.,She is a lawyer.,ती एक वकील आहे.,She is a lawyer.,उनी एक वकिल हुन्।,He is a lawyer.,ਉਹ ਇੱਕ ਵਕੀਲ ਹੈ.,He is a lawyer.,هوءَ هڪ وڪيل آهي.,She is a lawyer.,அவள் ஒரு வழக்கறிஞர்.,She is a lawyer.,ఆమె న్యాయవాది.,She is a lawyer.,وہ ایک وکیل ہے۔,He is a lawyer.
She is an audiologist.,তিনি একজন অডিওলজিস্ট।,He is an audiologist.,તે iડિઓલોજિસ્ટ છે.,He is an idiologist.,वह एक ऑडियोलॉजिस्ट हैं।,He is an audiologist.,ಅವಳು ಆಡಿಯಾಲಜಿಸ್ಟ್.,She is an audiologist.,അവൾ ഒരു ഓഡിയോളജിസ്റ്റാണ്.,She is an audiologist.,ती ऑडिओलॉजिस्ट आहे.,She is an audiologist.,उनी एक अडियोलॉजिस्ट हुन्।,He is an audiologist.,ਉਹ ਇੱਕ ਆਡੀਓਲੋਜਿਸਟ ਹੈ.,He is an audiologist.,هوءَ هڪ آڊيولوجسٽ آهي.,She is an oncologist.,அவள் ஆடியோலஜிஸ்ட்.,She is an audiologist.,ఆమె ఆడియాలజిస్ట్.,She is an audiologist.,وہ آڈیولوجسٹ ہیں۔,He is an audiologist.
She is a banker.,তিনি একজন ব্যাংকার।,He is a banker.,તે એક બેંકર છે.,He is a banker.,वह एक बैंकर हैं।,He is a banker.,ಅವಳು ಬ್ಯಾಂಕರ್.,She's a banker.,അവൾ ഒരു ബാങ്കറാണ്.,She is a banker.,ती एक बँकर आहे.,She is a banker.,उनी एक बैंकर हुन्।,He is a banker.,ਉਹ ਇੱਕ ਸ਼ਾਹੂਕਾਰ ਹੈ.,He is a banker.,هوءَ هڪ بينڪر آهي.,She is a banker.,அவள் ஒரு வங்கியாளர்.,She is a banker.,ఆమె బ్యాంకర్.,She is a banker.,وہ ایک بینکر ہے۔,He is a banker.
She is a barber.,তিনি নাপিত,He is a barber,તે એક વાળંદ છે.,She is a barber.,वह एक नाई है।,She is a hairdresser.,ಅವಳು ಕ್ಷೌರಿಕ.,She's a barber.,അവൾ ഒരു ബാർബർ ആണ്.,She is a barber.,ती एक नाई आहे.,She is a barber.,उनी नाई हुन्।,She is a barber.,ਉਹ ਇੱਕ ਨਾਈ ਹੈ.,She is a barber.,هوءَ حجام آهي.,She is a barber.,அவள் ஒரு முடிதிருத்தும்.,She is a barber.,ఆమె మంగలి.,She is a barber.,وہ ایک حجام ہے۔,She is a barber.
She is a bartender.,তিনি একজন বারটেন্ডার।,He is a bartender.,તે બાર્ટેન્ડર છે.,He is a bartender.,वह बारटेंडर है।,He's the bartender.,ಅವಳು ಬಾರ್ಟೆಂಡರ್.,She's a bartender.,അവൾ ഒരു ബാർട്ടൻഡറാണ്.,She is a bartender.,ती बारटेंडर आहे.,She is a bartender.,उनी बार्टेन्डर हुन्।,He is a bartender.,ਉਹ ਬਾਰਟੈਂਡਰ ਹੈ.,He is a bartender.,هوءَ بارٽ ٺاهيندڙ آهي.,She's a Bart maker.,அவள் ஒரு மதுக்கடை.,She is a bartender.,ఆమె బార్టెండర్.,She is a bartender.,وہ بارٹینڈر ہے۔,She is a bartender.
